Country,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,1.7,1.9,1.9,1.9,2.0,1.9,1.7,1.8,1.9,1.8,1.7,1.8,1.6,1.6,1.6,1.6,1.5,1.5,1.5
Belgium,1.7,1.8,1.7,2.0,1.9,1.9,1.7,1.8,1.6,1.4,1.6,1.6,1.7,1.6,1.6,1.4,1.4,1.3,1.2
Bulgaria,0.0,-0.2,0.0,0.3,0.1,0.2,0.2,-0.1,0.0,-0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.3
Croatia,0.1,0.1,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.5,0.5,0.6
Cyprus,1.2,1.3,1.1,1.4,1.2,1.1,1.2,1.3,1.4,1.5,1.4,1.5,1.6,1.4,1.4,1.1,1.1,1.0,0.9
Czech Republic,0.6,0.6,0.7,1.0,0.9,0.9,0.9,1.1,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.1,1.1,1.0
Denmark,1.8,2.0,2.0,2.1,2.2,2.3,2.1,2.2,2.4,2.3,2.2,2.1,2.1,2.0,2.0,1.8,1.9,1.9,1.8
Estonia,0.6,0.6,0.7,0.7,0.9,0.9,1.0,1.2,1.0,1.2,1.0,1.1,1.1,1.0,1.0,1.0,1.1,1.1,1.1
European Union,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1
Finland,1.7,2.0,2.1,2.2,2.3,2.2,2.1,2.2,2.0,2.1,2.2,2.2,2.2,2.2,2.2,2.0,1.8,1.8,1.9
France,1.3,1.5,1.7,1.6,1.7,1.8,1.7,1.6,1.5,1.6,1.5,1.4,1.4,1.3,1.5,1.4,1.4,1.4,1.4
Germany,1.7,1.9,1.9,1.7,1.4,1.5,1.5,1.7,1.6,1.5,1.6,1.6,1.6,1.6,1.5,1.7,1.7,1.7,1.7
Greece,0.8,0.8,0.6,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.3,0.5,0.4,0.3,0.2,0.3
Hungary,0.9,1.0,1.0,1.1,1.0,0.9,0.8,0.9,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.5,0.5,0.5,0.5
Ireland,1.7,1.8,1.7,1.6,1.6,1.5,1.7,1.5,1.6,1.5,1.3,1.4,1.5,1.6,1.5,1.6,1.5,1.3,1.3
Italy,0.8,0.9,0.8,0.8,0.8,0.7,0.6,0.4,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5
Latvia,0.5,0.2,0.3,0.6,0.7,0.6,0.6,0.7,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.0,0.9
Lithuania,0.5,0.3,0.1,0.6,0.8,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.2,1.1,1.0
Luxembourg,2.0,2.0,2.0,2.0,1.9,1.9,1.8,1.6,1.6,1.6,1.8,1.7,1.8,1.7,1.6,1.7,1.7,1.7,1.7
Malta,0.9,0.9,1.1,1.1,0.9,0.8,0.8,1.0,1.2,1.3,1.2,1.2,1.2,1.3,1.3,1.0,0.9,1.0,1.0
Netherlands,1.9,2.1,2.1,2.0,2.0,2.1,1.9,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9
Poland,0.7,0.7,0.6,0.5,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.6
Portugal,1.3,1.2,1.0,1.2,1.2,1.1,1.1,0.9,0.9,1.1,1.2,1.0,1.0,1.0,1.2,1.0,1.2,1.2,1.3
Romania,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Slovak Republic,0.5,0.5,0.6,0.6,0.7,0.9,0.9,0.9,0.7,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.8
Slovenia,0.9,0.8,0.8,0.9,1.1,0.9,0.9,1.0,0.9,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.2
Spain,1.6,1.7,1.8,1.9,1.9,1.4,1.5,0.8,1.0,0.9,1.0,1.0,1.0,1.1,1.2,1.2,1.2,1.1,1.0
Sweden,1.9,2.0,2.0,2.0,2.1,2.1,1.9,1.8,2.0,2.0,2.1,2.0,2.0,2.0,1.9,1.8,1.8,1.8,1.8
United Kingdom,1.9,1.9,1.9,1.8,1.8,1.9,1.8,1.7,1.7,1.6,1.5,1.6,1.6,1.6,1.5,1.6,1.7,1.6,1.4
Founding Fathers,1.6,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Central Europe,0.9,0.9,0.9,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.0,0.9
