Country,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,1.5,1.4,1.3,1.3,1.3,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.4,1.3,1.3
Belgium,1.4,1.3,1.4,1.4,1.5,1.4,1.4,1.3,1.4,1.3,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4
Bulgaria,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4
Croatia,-0.2,-0.3,0.5,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5
Cyprus,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.1
Czech Republic,1.0,1.0,0.8,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Denmark,1.5,1.5,1.5,1.5,1.6,1.8,1.7,1.6,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.5,1.6,1.5,1.5
Estonia,0.9,1.0,1.0,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
European Union,1.1,1.1,1.2,1.2,1.2,1.3,1.2,1.1,1.2,1.1,1.1,1.3,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Finland,1.5,1.5,1.6,1.6,1.6,1.8,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.6
France,1.3,1.2,1.2,1.2,1.1,1.5,1.5,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2
Germany,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Greece,1.0,1.1,1.0,1.1,1.2,1.2,1.1,1.0,1.0,0.9,0.9,0.9,0.8,0.7,0.7,0.6,0.7,0.7,0.7
Hungary,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.4,0.4
Ireland,1.4,1.4,1.4,1.3,1.3,1.5,1.6,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Italy,1.1,1.1,1.0,1.0,1.0,1.2,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.1
Latvia,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.9,0.8,0.8,0.9,0.8,0.7,0.8,0.8,0.9,0.9,0.8,0.8
Lithuania,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0
Luxembourg,1.6,1.5,1.5,1.4,1.5,1.7,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.5,1.5
Malta,1.2,1.1,1.2,1.2,1.3,1.4,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2
Netherlands,1.6,1.6,1.5,1.5,1.5,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.6
Poland,1.0,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.9,1.0,1.0,1.0,1.0,1.1,1.0,1.1,1.0,0.8,0.8
Portugal,1.5,1.4,1.4,1.3,1.4,1.5,1.4,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.2,1.2
Romania,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Slovak Republic,0.6,0.7,0.9,1.0,0.9,1.0,0.9,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9
Slovenia,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0
Spain,1.3,1.3,1.3,1.3,1.3,1.3,1.1,1.1,1.1,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0
Sweden,1.5,1.5,1.6,1.5,1.6,1.7,1.6,1.5,1.5,1.5,1.6,1.5,1.6,1.7,1.7,1.6,1.6,1.6,1.6
United Kingdom,1.3,1.2,1.3,1.3,1.3,1.6,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Founding Fathers,1.4,1.3,1.3,1.3,1.3,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3
Central Europe,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.0,1.1,1.0,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9
