Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,0.61,0.72,0.66,0.74,0.54,0.7,0.61,0.69,0.89,0.93,0.71,0.49,0.51
Belgium,2.21,2.55,2.09,2.08,1.97,1.88,1.74,1.73,1.94,1.85,1.84,1.85,1.95
Bulgaria,3.16,3.15,2.59,2.44,2.34,2.29,2.01,2,1.74,1.93,1.5,1.61,1.8
Croatia,1.53,1.89,1.51,1.56,1.4,1.54,1.13,1.44,1.14,1.19,1.08,0.85,0.87
Cyprus,–,1.58,1.94,1.43,1.22,0.84,1.74,0.72,0.81,1.95,1.05,0.95,1.29
Czech Republic,–,–,–,–,–,–,–,–,–,–,–,–,–
Denmark,1.21,0.8,0.98,0.53,0.71,0.98,0.85,0.76,0.82,0.84,0.85,1.29,0.99
Estonia,10.71,6.67,8.34,6.74,6.92,6.27,5.24,5.25,4.89,4.76,3.94,3.12,3.2
European Union,2.3,2.38,2.24,2.03,1.98,1.94,1.79,1.7,1.59,1.75,1.5,1.41,1.48
Finland,1.98,2.83,2.27,2.26,2.44,2.5,2.25,2.22,2.04,1.62,1.65,1.62,1.6
France,1.63,1.63,1.59,1.43,1.6,1.64,1.31,1.26,1.35,1.23,1.22,1.24,1.58
Germany,1.05,1.07,1.07,1,0.94,0.9,1,0.99,0.92,0.82,0.85,0.89,0.85
Greece,1.11,1,1.19,0.99,1.17,1.29,1.36,1.57,1.65,1.49,1.38,0.97,0.85
Hungary,2.25,2.07,1.62,1.73,1.53,1.8,1.39,1.38,1.45,1.25,1.55,1.48,–
Ireland,1.11,0.73,1.24,1.44,1.78,1.12,1.23,1.15,0.9,1.16,1.11,1.11,0.64
Italy,1.24,1.22,1.04,1.06,1.07,1.04,0.99,0.89,0.92,0.89,0.84,0.79,0.78
Latvia,8.83,8.02,5.66,5.82,4.33,4.62,5.1,3.35,3.34,4.76,3.43,3.87,4.11
Lithuania,–,10.16,11.13,8.71,8.49,9.26,7.94,7.01,6.87,6.7,6.68,5.45,5.98
Luxembourg,–,–,–,1.5,1.47,1.65,1.01,1.97,0.77,–,0.18,0.72,–
Malta,–,1.77,1.01,–,0.99,1.48,0.98,0.97,0.72,2.89,1.68,1.44,0.96
Netherlands,1.25,1.18,1.07,0.78,0.87,0.91,0.93,0.87,0.86,0.87,0.74,0.73,0.61
Poland,1.72,1.65,1.44,1.27,1.36,1.19,1.28,1.13,1.16,0.98,0.77,0.73,0.74
Portugal,1.43,1.38,1.27,1.47,1.75,1.17,1.23,1.17,1.08,1.16,1.38,0.88,0.97
Romania,2.54,2.39,2.13,2.07,1.98,2.27,1.94,1.99,1.67,1.9,1.7,1.52,1.49
Slovak Republic,2.71,2.27,1.97,1.65,1.65,1.74,1.55,1.65,1.77,1.38,1.44,1.33,0.88
Slovenia,1.06,1.36,1,0.6,1.19,0.49,0.64,0.73,0.78,0.68,0.58,0.73,1.21
Spain,1.38,1.2,1.18,1.07,1.07,0.89,0.89,0.86,0.82,0.78,0.65,0.7,0.66
Sweden,0.91,1.14,0.92,1,1.21,0.89,1,0.97,0.86,0.71,0.9,0.9,1.15
United Kingdom,1.74,1.64,1.49,1.42,1.43,1.23,1.15,1.2,1.02,1.01,0.94,0.92,–
Founding Fathers,1.476,1.53,1.372,1.30833333333333,1.32,1.33666666666667,1.16333333333333,1.285,1.12666666666667,1.132,0.945,1.03666666666667,1.154
Central Europe,1.67,1.614,1.338,1.198,1.254,1.184,1.094,1.116,1.21,1.044,1.01,0.952,0.835
