Country,2015,2012,2009,2006,2003
Austria,496.7,505.5,495.9,505.5,506.0
Belgium,507.0,514.5,515.3,520.4,529.0
Bulgaria,–,–,–,–,–
Croatia,–,–,–,–,–
Cyprus,–,–,–,–,–
Czech Republic,492.3,499.0,492.8,509.9,516.0
Denmark,511.1,500.0,503.3,513.0,514.0
Estonia,519.5,520.6,512.1,514.6,–
European Union,495.2,496.9,497.4,498.5,499.9
Finland,511.1,518.8,540.5,548.4,544.0
France,492.9,495.0,496.8,495.5,511.0
Germany,506.0,513.5,512.8,503.8,503.0
Greece,453.6,453.0,466.1,459.2,445.0
Hungary,476.8,477.0,490.2,490.9,490.0
Ireland,503.7,501.5,487.1,501.5,503.0
Italy,489.7,485.3,482.9,461.7,466.0
Latvia,482.3,490.6,482.0,486.2,483.0
Lithuania,–,–,–,–,–
Luxembourg,485.8,489.9,489.1,490.0,493.0
Malta,–,–,–,–,–
Netherlands,512.3,523.0,525.8,530.7,538.0
Poland,504.5,517.5,494.8,495.4,490.0
Portugal,491.6,487.1,486.9,466.2,466.0
Romania,–,–,–,–,–
Slovak Republic,475.2,481.6,496.7,492.1,498.0
Slovenia,509.9,501.1,501.5,504.5,–
Spain,485.8,484.3,483.5,480.0,485.0
Sweden,493.9,478.3,494.2,502.4,509.0
United Kingdom,492.5,493.9,492.4,495.4,508.0
Founding Fathers,498.9,503.5,503.8,500.3,506.7
Central Europe,492.6,497.0,495.3,499.7,500.0
,,,,,
,,,,,
Matematika eredmények,,,,,
