,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
Austria,-,64815,64825,64691,64417,64008,64069,64018,64307,63354,63248,63206,62806,63092,63114,63674,64594,65373,66480,67173,67853,68218,68729,69268,70143,71324,72494
Belgium,69730,69924,69940,70032,70138,70170,70265,70410,70461,70714,77799,77881,77905,78272,78763,79639,79906,80267,80835,80970,75149,76844,77659,77829,77207,76703,82632
Bulgaria,-,51505,49522,48308,47391,48934,50041,49507,48749,47719,49626,47709,49171,51030,56984,60552,-,-,-,-,-,-,-,-,-,-,-
Croatia,-,25036,24933,25129,25030,24831,23806,24282,24352,24237,24220,24549,24927,25187,26618,26955,-,-,-,-,-,-,-,-,-,-,-
Cyprus,-,2912,2938,2990,2988,2958,3040,2977,2916,2856,2842,-,-,-,-,3139,-,-,-,-,3298,-,3270,3331,3391,3405,3413
Czechia,-,67937,67888,70014,71750,73746,74607,74924,75502,76245,77309,78004,78825,79177,79354,79985,79551,81673,82835,85246,87784,-,-,-,-,102810,-
Denmark,14380,15174,17241,-,17433,19405,19296,19615,20159,20613,20902,21462,22281,23040,22604,22927,23352,24082,24538,-,-,-,-,-,-,-,-
Estonia,-,6584,6597,7309,7114,7022,7166,7530,7349,7476,7292,7690,7857,8248,9160,9828,10358,10509,10794,11184,11994,12521,14377,14843,17626,18129,18709
Finland,-,24741,26499,28685,29751,31396,33380,34900,35609,36793,37000,37117,37759,38232,38715,39027,39285,40055,40586,41591,41483,41695,41807,-,-,-,-
France,-,410921,413206,414840,414204,416710,429674,443008,450615,451110,455175,462143,468418,475431,479025,484279,494960,500846,507996,-,-,-,-,-,-,-,-
Germany,-,666337,667560,670443,672573,674473,674830,674420,677799,683484,698303,707806,721690,731919,741933,749473,754865,762596,769294,783631,790756,790851,784289,796905,809737,-,-
Greece,-,46160,46510,49100,49692,49828,54704,53652,53888,53701,52511,51871,51762,51781,52276,51500,51404,52495,52474,52586,52227,51788,52144,51422,51297,51329,51448
Hungary,-,68910,69621,69449,71669,71818,71600,71322,72260,80341,79834,79722,79976,80360,80665,83271,-,-,-,-,-,-,-,-,-,-,-
Ireland,-,11989,11837,11692,12008,12434,12813,21789,22421,22472,22711,22961,22668,22732,22658,23334,23447,23735,24092,24622,25168,25353,25868,27096,28090,28199,28905
Italy,-,-,199474,203723,208854,215980,218264,223015,228286,232168,234375,231915,239566,253411,262861,268057,280438,315848,334613,372352,356242,373408,380420,389457,385691,410026,399700
Latvia,-,11279,11673,11972,12111,11920,14434,16907,17233,17407,17696,17911,18199,18174,19349,20773,21594,23165,23840,25641,27808,30388,31353,33166,35596,35785,35951
Lithuania,-,21176,21538,22206,22511,22190,22719,22958,23233,23379,24200,25551,26823,27892,28923,30912,31552,32185,34318,38171,39703,40863,43584,44569,46173,46175,46640
Luxembourg,2746,2746,2746,2736,2736,2721,2721,2721,2721,2671,2691,2929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malta,2041,1994,2034,1977,1824,1874,1993,3025,3192,3068,3007,2992,2961,2963,2974,2113,-,-,-,-,-,-,-,-,-,-,-
Netherlands,-,-,-,-,-,-,76980,77270,77680,78140,72698,72804,73011,73814,74625,76859,79690,80195,80964,80907,81437,82692,85192,86015,86359,87078,-
Norway,-,19751,19600,19937,20778,21044,21840,22101,22906,23427,23861,24086,22774,22662,17227,17052,17344,17351,17383,17390,17508,17709,17753,18033,18518,19802,20953
Poland,-,251904,251383,252352,252281,251456,253815,252375,244877,246851,248860,254601,255168,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,-,34522,35478,35815,35601,35646,35635,35803,36220,36605,37372,37628,37459,37162,37809,38165,38262,39180,39720,40099,39290,39219,39410,39875,39895,40383,40721
Romania,-,-,133354,132303,130970,134736,142203,141327,140889,145529,146529,146096,146620,167099,173381,172656,170213,164526,166411,170954,173311,174900,179082,179169,206869,207001,206908
Slovakia,-,31348,31416,31963,32663,34850,35248,35452,36449,36185,36471,37129,38938,40714,41249,42333,42915,43348,43847,44700,-,-,-,-,-,-,-
Slovenia,-,9356,9377,9349,9493,9367,9389,9586,9414,9567,9666,9584,9895,10147,10286,10745,10959,11097,11233,11276,11411,11493,11540,11839,12016,12081,12105
Spain,-,137938,138153,139994,142640,145207,146310,146934,146840,146241,145863,145877,144916,146104,146369,148081,149646,150010,151345,153433,154644,157433,158944,161537,164451,165897,168514
Sweden,-,24603,24905,24927,25566,25566,25653,25862,26196,26223,26478,27088,27332,27925,29122,31765,32755,33234,34885,38139,42359,45537,52991,57778,102152,106484,109752
United Kingdom,-,176324,176789,178869,182103,183849,203325,205973,207787,215511,224881,231397,235510,236203,238639,241332,-,-,-,-,-,-,-,-,-,-,-
EU average,22224.25,86764.8461538462,92751.3214285714,96326.1111111111,94153.1785714286,95147.8214285714,96545.5172413793,97712.5172413793,98286.5517241379,99451.275862069,100807.586206897,105346.75,110563.592592593,107414.269230769,109026.269230769,106608.37037037,118909.047619048,121512.857142857,123737.285714286,112635,110496.052631579,120053.647058824,114911.777777778,121301.882352941,126777.117647059,87212.4117647059,86589.6666666667
Founding Fathers,2746,286204.75,269562.2,271286.6,272556.8,274778.4,244423,247408.666666667,250234.666666667,251821.166666667,254415,256800.5,313098.2,319533.4,324311.6,328468.4,334909.4,344971.6,351869.4,326015.75,324072,328792.25,329657.5,335411.25,337982.5,189476,236097
Central European Region,,82378.3333333333,82418.3333333333,82969.6666666667,83712.1666666667,84207.5,84788,84612.8333333333,83801.5,85423.8333333333,85898,87041,87601.3333333333,54698,54933.6,56001.6,49504.75,50372.75,51098.75,52098.75,55682.6666666667,39855.5,40134.5,40553.5,41079.5,62071.6666666667,42299.5
