GEO/TIME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,75.7,76.2,76.3,76.5,76.5,76.8,77.0,77.3,77.5,77.6,77.7,77.9,78.1,78.2,78.3,79.0,79.1,79.5,79.9,79.8,80.2,80.3,80.7,80.5,80.7,81.4,81.1,81.5,81.6
Bulgaria,71.4,71.2,71.1,71.2,71.2,70.9,71.0,70.8,70.3,70.9,71.6,71.6,71.9,72.1,72.3,72.5,72.5,72.7,73.0,73.3,73.7,73.8,74.2,74.4,74.9,74.5,74.7,74.9,74.8
Czechia,71.8,71.5,72.0,72.4,72.9,73.2,73.3,74.0,74.1,74.7,74.9,75.1,75.3,75.4,75.3,75.9,76.1,76.7,77.0,77.3,77.4,77.7,78.0,78.1,78.3,78.9,78.7,79.1,79.1
Denmark,74.9,74.9,75.3,75.3,75.2,75.5,75.3,75.7,76.1,76.5,76.6,76.9,77.0,77.1,77.4,77.8,78.3,78.4,78.4,78.8,79.0,79.3,79.9,80.2,80.4,80.7,80.8,80.9,81.1
Germany,75.6,75.4,75.7,76.2,76.2,76.6,76.7,77.0,77.4,77.8,78.0,78.3,78.6,78.6,78.6,79.3,79.4,79.9,80.1,80.2,80.3,80.5,80.6,80.7,80.6,81.2,80.7,81.0,81.1
Estonia,70.5,69.9,69.8,69.1,68.1,66.6,67.7,69.9,70.1,69.7,70.6,71.1,70.9,71.4,71.9,72.4,73.0,73.2,73.2,74.4,75.3,76.0,76.6,76.7,77.5,77.4,78.0,78.0,78.4
Ireland,74.4,74.8,75.0,75.4,75.3,75.8,75.5,75.8,76.0,76.2,76.1,76.6,77.2,77.7,78.2,78.6,79.0,79.3,79.7,80.2,80.2,80.8,80.9,80.9,81.0,81.4,81.5,81.8,82.2
Greece,77.0,77.1,77.3,77.2,77.6,77.8,77.8,77.9,78.4,78.3,78.5,78.6,79.1,79.2,79.3,79.4,79.6,79.9,79.7,80.2,80.4,80.6,80.8,80.7,81.4,81.5,81.1,81.5,81.4
Spain,77.0,76.9,77.1,77.6,77.7,78.0,78.1,78.3,78.8,78.8,78.8,79.3,79.8,79.8,79.7,80.4,80.3,81.1,81.1,81.5,81.9,82.4,82.6,82.5,83.2,83.3,83.0,83.5,83.4
France,:,:,:,:,:,:,:,:,:,78.7,78.9,79.2,79.3,79.4,79.3,80.3,80.3,80.9,81.3,81.4,81.5,81.8,82.3,82.1,82.4,82.9,82.4,82.7,82.7
France (metropolitan),76.7,77.0,77.2,77.5,77.5,78.0,78.1,78.2,78.6,78.8,78.9,79.2,79.3,79.4,79.3,80.4,80.4,81.0,81.3,81.4,81.6,81.9,82.3,82.1,:,:,:,:,:
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,74.6,74.7,74.6,75.4,75.3,75.9,75.8,76.0,76.3,76.7,77.2,77.3,77.8,77.9,77.5,78.2,78.0
Italy,77.0,77.1,77.1,77.5,77.8,78.0,78.3,78.7,79.0,79.1,79.6,79.9,80.3,80.4,80.1,80.9,80.9,81.4,81.6,81.7,81.8,82.2,82.4,82.4,82.9,83.2,82.7,83.4,83.1
Cyprus,:,:,:,:,77.2,77.1,77.4,77.7,77.4,77.2,78.0,77.7,79.0,78.7,79.0,79.1,78.7,80.1,79.8,80.6,81.0,81.5,81.2,81.1,82.5,82.3,81.8,82.7,82.2
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,70.2,70.6,70.9,70.6,70.6,70.8,72.1,72.8,73.1,73.9,74.1,74.3,74.5,74.8,74.9,74.9
