Country,1990,1995,2000,2005,2010,2015,2017
Austria,424952,471591,518229,592652,667074,775904,863201
Belgium,417082,428747,430090,431203,550908,616432,624322
Bulgaria,12463,18793,25122,34480,42446,74447,85574
Croatia,252907,358352,310475,307628,304782,308466,301209
Cyprus,23342,34337,45331,66744,105995,107867,106204
Czech Republic,52989,77276,101562,140821,162333,177226,184730
Denmark,120778,155914,191049,227286,263523,304445,332550
Estonia,210306,179487,148668,139457,130246,114640,112308
European Union,762472.01,809456.24,860875.5,918406.63,969294.71,998793.69,1027272.5
Finland,31573,50154,68734,95740,122746,155541,168775
France,2897891,3041910,3185929,3436741,3687553,4091839,4093942
Germany,2643053,3566009,4488965,4726269,4963574,5182457,6109816
Greece,288101,412846,551871,603030,680418,672396,664598
Hungary,191325,175032,158738,192571,226404,239789,251850
Ireland,115868,118808,177593,279136,370102,390045,412294
Italy,785807,965400,1144999,2134495,3124009,3167527,3215562
Latvia,355207,303877,252546,221980,189111,161407,155861
Lithuania,184673,144946,113765,107020,91166,78513,72856
Luxembourg,57733,63814,70464,75667,122759,128145,129866
Malta,8065,9374,11232,12661,15890,19782,21231
Netherlands,589920,677928,791035,892683,951246,1044005,1072934
Poland,645595,560676,486928,425470,380154,355232,366683
Portugal,225860,273485,331153,394410,391289,466424,469533
Romania,78224,71755,66521,78898,84265,134290,173949
Slovak Republic,23108,38792,65123,71775,79381,88613,91348
Slovenia,88563,84164,80554,90145,112501,103156,106670
Spain,431157,520953,819227,1966546,3041827,3007208,3054960
Sweden,405682,485077,523587,587300,689210,815652,884505
United Kingdom,1893838,2176582,2501537,3107979,3937397,4387369,4636299
Founding Fathers,1231914.33333333,1457301.33333333,1685247,1949509.66666667,2233341.5,2371734.16666667,2541073.66666667
