Country,1990,1995,2000,2005,2010,2015,2017
Austria,368287,423302,478318,543618,608918,716470,797082
Belgium,487446,481022,465810,450828,568348,635948,644089
Bulgaria,9047,13642,18238,26594,33841,59356,68229
Croatia,222531,315733,274823,271645,268466,267272,259274
Cyprus,20463,27604,34745,50421,82477,84153,82769
Czech Republic,57405,88316,119227,181719,236160,239228,248560
Denmark,114411,147194,179977,213097,246217,291431,324239
Estonia,171691,136268,100844,94244,87644,80024,80654
European Union,723506.16,763647.78,809126.67,862174.69,906944.54,928515.89,957377.64
Finland,31682,49575,67469,96429,125389,159315,174807
France,2999376,3046083,3092789,3300859,3508928,3826543,3808841
Germany,3293128,3898397,4503666,4676178,4848689,5037961,6055267
Greece,330038,445004,559794,587677,640731,570528,555797
Hungary,156185,147202,138219,174216,210212,235719,251937
Ireland,112093,108084,172959,309910,360440,359898,394255
Italy,642414,809553,976691,1820290,2663889,2637798,2691899
Latvia,290800,234216,177632,154745,124675,104011,101028
Lithuania,164585,128641,100546,94189,69606,57508,51850
Luxembourg,56062,62292,69286,74951,126129,132428,134207
Malta,7012,8366,10289,11899,17118,22648,24308
Netherlands,592343,668236,765302,843444,881264,952313,983586
Poland,482176,404049,338323,297039,262263,256623,274254
Portugal,209922,259337,320319,376774,371536,398390,410655
Romania,57601,63282,60428,66264,81861,146758,196804
Slovak Republic,18187,30531,51253,58716,66938,89011,93294
Slovenia,89514,90255,90464,107131,141285,134460,138120
Spain,390448,499114,838058,2140680,3238238,2884000,2892146
Sweden,383085,450945,480211,538490,648004,786870,863205
United Kingdom,1756448,1978711,2228628,2818177,3667186,4023652,4205418
Founding Fathers,1345128.16666667,1494263.83333333,1645590.66666667,1861091.66666667,2099541.16666667,2203831.83333333,2386314.83333333
Central Europe,195292.333333333,197275.833333333,202634,227073.166666667,254296,278585.166666667,300541.166666667
