Country,1990,1995,2000,2005,2010,2015,2017
Austria,793239,894893,996547,1136270,1275992,1492374,1660283
Belgium,904528,909769,895900,882031,1119256,1252380,1268411
Bulgaria,21510,32435,43360,61074,76287,133803,153803
Croatia,475438,674085,585298,579273,573248,575738,560483
Cyprus,43805,61941,80076,117165,188472,192020,188973
Czech Republic,110394,165592,220789,322540,398493,416454,433290
Denmark,235189,303108,371026,440383,509740,595876,656789
Estonia,381997,315755,249512,233701,217890,194664,192962
European Union,1485979.17,1573104.03,1670003.17,1780581.33,1876239.26,1927309.58,1984650.14
Finland,63255,99729,136203,192169,248135,314856,343582
France,5897267,6087993,6278718,6737600,7196481,7918382,7902783
Germany,5936181,7464406,8992631,9402447,9812263,10220418,12165083
Greece,618139,857850,1111665,1190707,1321149,1242924,1220395
Hungary,347510,322234,296957,366787,436616,475508,503787
Ireland,227961,226892,350552,589046,730542,749943,806549
Italy,1428221,1774953,2121690,3954785,5787898,5805325,5907461
Latvia,646007,538093,430178,376725,313786,265418,256889
Lithuania,349258,273587,214311,201209,160772,136021,124706
Luxembourg,113795,126106,139750,150618,248888,260573,264073
Malta,15077,17740,21521,24560,33008,42430,45539
Netherlands,1182263,1346164,1556337,1736127,1832510,1996318,2056520
Poland,1127771,964725,825251,722509,642417,611855,640937
Portugal,435782,532822,651472,771184,762825,864814,880188
Romania,135825,135037,126949,145162,166126,281048,370753
Slovak Republic,41295,69323,116376,130491,146319,177624,184642
Slovenia,178077,174419,171018,197276,253786,237616,244790
Spain,821605,1020067,1657285,4107226,6280065,5891208,5947106
Sweden,788767,936022,1003798,1125790,1337214,1602522,1747710
United Kingdom,3650286,4155293,4730165,5926156,7604583,8411021,8841717
Founding Fathers,2577042.5,2951565.16666667,3330837.66666667,3810601.33333333,4332882.66666667,4575566,4927388.5
Central Europe,433047.666666667,431864.333333333,437823,479312.166666667,525603.833333333,568571.833333333,611288.166666667
