Country,1990,1995,2000,2005,2010,2015,2017
Austria,10.27,11.2,12.35,13.77,15.17,17.2,19.01
Belgium,9.04,8.93,8.71,8.36,10.23,11.09,11.1
Bulgaria,0.24,0.39,0.54,0.79,1.03,1.86,2.17
Croatia,9.95,14.6,13.22,13.23,13.24,13.59,13.38
Cyprus,5.71,7.24,8.49,11.4,16.94,16.54,16.02
Czech Republic,1.07,1.6,2.15,3.14,3.78,3.93,4.08
Denmark,4.57,5.79,6.95,8.12,9.18,10.47,11.46
Estonia,24.4,22.03,17.83,17.24,16.36,14.8,14.73
European Union,8.08,8.66,9.77,9.94,10.91,11.26,11.59
Finland,1.27,1.95,2.63,3.65,4.62,5.74,6.22
France,10.35,10.45,10.53,11,11.42,12.28,12.16
Germany,7.5,9.19,11.04,11.51,12.13,12.51,14.81
Greece,6.03,7.95,9.98,10.54,11.54,11.08,10.94
Hungary,3.35,3.11,2.91,3.64,4.4,4.86,5.18
Ireland,6.39,6.21,9.11,13.98,15.79,15.96,16.94
Italy,2.5,3.1,3.7,6.72,9.69,9.76,9.95
Latvia,24.25,21.45,18.04,16.73,14.81,13.32,13.18
Lithuania,9.45,7.54,6.12,6.02,5.15,4.64,4.31
Luxembourg,29.81,30.9,32.05,32.9,49,45.98,45.26
Malta,4.14,4.66,5.43,6.04,7.93,9.92,10.57
Netherlands,7.9,8.7,9.77,10.61,10.98,11.79,12.07
Poland,2.97,2.51,2.14,1.88,1.68,1.6,1.68
Portugal,4.38,5.25,6.29,7.3,7.16,8.3,8.52
Romania,0.58,0.59,0.57,0.68,0.81,1.41,1.88
Slovak Republic,0.78,1.29,2.16,2.42,2.71,3.27,3.39
Slovenia,8.88,8.76,8.6,9.88,12.41,11.45,11.77
Spain,2.09,2.56,4.05,9.33,13.42,12.7,12.83
Sweden,9.21,10.59,11.3,12.46,14.24,16.41,17.63
United Kingdom,6.38,7.17,8.02,9.83,12.01,12.86,13.36
Founding Fathers,11.1833333333333,11.8783333333333,12.6333333333333,13.5166666666667,17.2416666666667,17.235,17.5583333333333
Central Europe,4.55333333333333,4.745,5.05166666666667,5.78833333333333,6.69166666666667,7.05166666666667,7.51833333333333
